,max_iters,problem_size,algorithm,problem_type,fitness,processing_time
255,1650,50,mimic,FourPeaks,66.0,4.39884614944458
256,1850,50,random_hill_climb,FourPeaks,25.0,0.013504981994628906
257,1850,50,simulated_annealing,FourPeaks,94.0,0.011008024215698242
258,1850,50,genetic_alg,FourPeaks,71.0,0.7680568695068359
259,1850,50,mimic,FourPeaks,66.0,114.5622992515564
260,50,50,random_hill_climb,OneMax,108.69029395417442,0.009819984436035156
261,50,50,simulated_annealing,OneMax,97.36314154810178,0.001007080078125
262,50,50,genetic_alg,OneMax,122.38736092970755,0.3075137138366699
263,250,50,random_hill_climb,OneMax,123.93594635775074,0.035033226013183594
264,250,50,simulated_annealing,OneMax,99.21964896056956,0.00322723388671875
265,250,50,genetic_alg,OneMax,125.35401550897126,1.1918418407440186
266,450,50,random_hill_climb,OneMax,138.0050705913926,0.05765414237976074
267,450,50,simulated_annealing,OneMax,107.75537592232857,0.005613088607788086
268,450,50,genetic_alg,OneMax,125.35401550897126,1.2032368183135986
269,650,50,random_hill_climb,OneMax,138.27387824756633,0.08206677436828613
270,650,50,simulated_annealing,OneMax,117.90387373936063,0.008036136627197266
271,650,50,genetic_alg,OneMax,125.35401550897126,1.201012134552002
272,850,50,random_hill_climb,OneMax,147.16968909375564,0.12110424041748047
273,850,50,simulated_annealing,OneMax,126.57164925619685,0.010553836822509766
274,850,50,genetic_alg,OneMax,125.35401550897126,1.1902711391448975
275,1050,50,random_hill_climb,OneMax,152.31592377534224,0.13480377197265625
276,1050,50,simulated_annealing,OneMax,137.15087913171715,0.012948036193847656
277,1050,50,genetic_alg,OneMax,125.35401550897126,1.1900320053100586
278,1250,50,random_hill_climb,OneMax,162.76256103836536,0.15638279914855957
279,1250,50,simulated_annealing,OneMax,145.5781096899248,0.015619039535522461
280,1250,50,genetic_alg,OneMax,125.35401550897126,1.1901471614837646
281,1450,50,random_hill_climb,OneMax,170.16263761797512,0.2006850242614746
282,1450,50,simulated_annealing,OneMax,154.5717289358425,0.01850581169128418
283,1450,50,genetic_alg,OneMax,125.35401550897126,1.189535140991211
284,1650,50,random_hill_climb,OneMax,172.2711704102438,0.22530794143676758
285,1650,50,simulated_annealing,OneMax,163.40981535368644,0.03141927719116211
286,1650,50,genetic_alg,OneMax,125.35401550897126,1.1859419345855713
287,1850,50,random_hill_climb,OneMax,182.82666281570863,0.2599201202392578
288,1850,50,simulated_annealing,OneMax,170.92810545118297,0.023830652236938477
289,1850,50,genetic_alg,OneMax,125.35401550897126,1.1839632987976074
290,50,50,random_hill_climb,TravellingSales,299.2488464972864,0.0213468074798584
291,50,50,simulated_annealing,TravellingSales,332.2357984300135,0.0017740726470947266
292,50,50,genetic_alg,TravellingSales,313.64503755196307,0.5753417015075684
293,50,50,mimic,TravellingSales,361.3418814771588,0.30521225929260254
294,250,50,random_hill_climb,TravellingSales,296.74396945851015,0.05900979042053223
295,250,50,simulated_annealing,TravellingSales,299.2488464972864,0.007730245590209961
296,250,50,genetic_alg,TravellingSales,306.48991016872753,2.2710049152374268
297,250,50,mimic,TravellingSales,361.3418814771588,0.306488037109375
298,450,50,random_hill_climb,TravellingSales,296.7439694585101,0.07025980949401855
299,450,50,simulated_annealing,TravellingSales,299.2488464972864,0.007750988006591797
300,450,50,genetic_alg,TravellingSales,306.48991016872753,2.2592720985412598
301,450,50,mimic,TravellingSales,361.3418814771588,0.3061668872833252
302,650,50,random_hill_climb,TravellingSales,296.7439694585101,0.07662105560302734
303,650,50,simulated_annealing,TravellingSales,299.2488464972864,0.007747173309326172
304,650,50,genetic_alg,TravellingSales,306.48991016872753,2.252542018890381
305,650,50,mimic,TravellingSales,361.3418814771588,0.30572509765625
306,850,50,random_hill_climb,TravellingSales,296.7439694585101,0.06845331192016602
307,850,50,simulated_annealing,TravellingSales,299.2488464972864,0.007729768753051758
308,850,50,genetic_alg,TravellingSales,306.48991016872753,2.2564339637756348
